State,ADD,ASG,COMMA,ELSE,FLOAT,FLOAT_NUM,ID,IF,INT,INT_NUM,LBR,LBRACK,LPAR,MUL,PRINT,RBR,RBRACK,REL_OP,RETURN,RPAR,SEMI,VOID,WHILE,END,AddExpr,ArgList,CompStmt,Decl,DeclList,Expr,ExprStmt,Fact,FunDecl,IfStmt,LoopStmt,OtherStmt,Param,ParamList,PrintStmt,RetStmt,SimpExpr,Stmt,StmtList,Term,Type,VarDecl
63,,,,,r23,r23,r23,r23,r23,r23,r23,,r23,,r23,r23,,,r23,,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,r24,r24,r24,r24,r24,r24,r24,,r24,,r24,r24,,,r24,,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,r22,r22,r22,r22,r22,r22,r22,,r22,,r22,r22,,,r22,,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,r21,r21,r21,r21,r21,r21,r21,,r21,,r21,r21,,,r21,,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,r26,r26,r26,r26,r26,r26,r26,,r26,,r26,r26,,,r26,,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,r20,r20,r20,r20,r20,r20,r20,,r20,,r20,r20,,,r20,,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,r30,r30,r30,r30,r30,r30,r30,,r30,,r30,r30,,,r30,,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,
74,,,,r17,r17,r17,r17,r17,r17,r17,r17,,r17,,r17,r17,,,r17,,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,r18,r18,r18,r18,r18,r18,r18,,r18,,r18,r18,,,r18,,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,r51,,,,,,,,,,,,,,,,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,s25,s24,,,s21,,,s23,,,,,,,,,,,,22,,,,,88,,27,,,,,,,,,19,,,20,,
80,,,,,,,,,,,,,,,,,,,,,s89,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,r35,r35,r35,r35,r35,r35,r35,,r35,,r35,r35,,,r35,,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,r29,r29,r29,r29,r29,r29,r29,,r29,,r29,r29,,,r29,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,
83,,s13,,,,,,,,,,s12,,,,,,,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,s25,s24,,,s21,,,s23,,,,,,,,,,,,22,,,,,90,,27,,,,,,,,,19,,,20,,
85,,,,,,s25,s24,,,s21,,,s23,,,,,,,,,,,,22,,,,,91,,27,,,,,,,,,19,,,20,,
86,,,,,,s25,s24,,,s21,,,s23,,,,,,,,,,,,22,,,,,92,,27,,,,,,,,,19,,,20,,
87,r47,,r47,,,,,,,,,,,r47,,,r47,r47,,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,r37,,,,,,,,,,,,,,r37,,,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,r34,r34,r34,r34,r34,r34,r34,,r34,,r34,r34,,,r34,,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,s95,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,s42,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,
94,,,,,s7,s25,s24,s71,s6,s21,s42,,s23,,s75,,,,s62,,s73,s1,s72,,22,,63,,,68,65,27,,64,60,66,,,61,67,19,97,,20,69,70
95,,,,,,,,,,,,,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,s99,r31,r31,r31,r31,r31,r31,r31,,r31,,r31,r31,,,r31,,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,r33,r33,r33,r33,r33,r33,r33,,r33,,r33,r33,,,r33,,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,r28,r28,r28,r28,r28,r28,r28,,r28,,r28,r28,,,r28,,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,s42,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
100,,,,,r32,r32,r32,r32,r32,r32,r32,,r32,,r32,r32,,,r32,,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,
